"user_id";"content_id";"rating";"bookmarked";"timespent";"total_selection"
"73";"33";NULL;NULL;NULL;"2"
"20";"58";"10";NULL;NULL;"1"
"57";"59";"10";NULL;NULL;"1"
"35";"37";NULL;NULL;NULL;"1"
"65";"53";"9";NULL;NULL;"1"
"58";"47";"2";NULL;NULL;"1"
"70";"55";"10";NULL;NULL;"1"
"38";"60";"6";NULL;NULL;"2"
"38";"59";"6";NULL;NULL;"1"
"65";"61";NULL;NULL;NULL;"1"
"38";"57";"6";NULL;NULL;"1"
"30";"55";"3";NULL;NULL;"1"
"57";"60";NULL;NULL;NULL;"1"
"55";"61";NULL;NULL;NULL;"1"
"19";"51";"10";NULL;NULL;"1"
"23";"51";NULL;NULL;NULL;"1"
"51";"52";NULL;NULL;NULL;"1"
"76";"54";NULL;NULL;NULL;"1"
"23";"55";"10";NULL;NULL;"1"
"68";"54";NULL;NULL;NULL;"1"
"26";"33";NULL;NULL;NULL;"1"
"26";"52";NULL;NULL;NULL;"2"
"8";"61";NULL;NULL;NULL;"1"
"19";"48";NULL;NULL;NULL;"1"
"19";"58";"10";NULL;NULL;"1"
